Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status       
-0.518619061, 9.767727    , 0.8467765   , -0.00446271244, -0.006743921, -0.00222897157, -1.661612   , -0.05854201 , 1.31980824  , 20.86       , 3
-0.523782432, 9.754708    , 0.8513086   , -0.006194923, -0.00581558049, -0.00277079619, -1.6616776  , -0.05856431 , 1.3198688   , 20.87       , 3
-0.5117936  , 9.751547    , 0.8713033   , -0.00378737459, -0.005155046, -0.0034282275, -1.66171861 , -0.058593832, 1.31992316  , 20.88       , 3
-0.50397867 , 9.756845    , 0.8650635   , -0.00178766681, -0.0052840896, -0.00275309174, -1.66173971 , -0.0586163737, 1.31997848  , 20.89       , 3
-0.502844334, 9.775336    , 0.861787736 , 0.00128798489, -0.00558139244, -0.000854899467, -1.66163218 , -0.0584409535, 1.321079    , 20.9        , 3
-0.5115788  , 9.762778    , 0.8617661   , 0.00542268855, -0.00450872863, 0.0004940628, -1.66158044 , -0.05843194 , 1.32112336  , 20.91       , 3
-0.498373479, 9.754852    , 0.845791    , 0.00635670032, -0.004107907, 0.0007640412, -1.66151929 , -0.058420714, 1.32116342  , 20.92       , 3
-0.5419506  , 9.74084     , 0.842616558 , 0.00129010051, -0.004917767, -0.00112245779, -1.66150916 , -0.05842743 , 1.321214    , 20.93       , 3
-0.5357183  , 9.745846    , 0.8584212   , -0.004714225, -0.006123161, -0.00247906125, -1.66156018 , -0.0584465079, 1.32127738  , 20.94       , 3
-0.510405958, 9.755608    , 0.8726421   , -0.00444414839, -0.00666080834, -0.00327707035, -1.66160858 , -0.0584731065, 1.32134652  , 20.95       , 3
-0.5005105  , 9.744623    , 0.867452562 , -0.00457972335, -0.005857911, -0.00261218776, -1.66165793 , -0.0584938563, 1.32140756  , 20.96       , 3
-0.519408762, 9.736563    , 0.8474504   , -0.004455478, -0.005844717, -0.000611943542, -1.661706   , -0.05849457 , 1.32146621  , 20.97       , 3
-0.5313628  , 9.746365    , 0.876035631 , -0.00272512459, -0.00677041337, 0.0003298182, -1.6617372  , -0.05848514 , 1.32153344  , 20.98       , 3
-0.517931938, 9.758307    , 0.8585636   , -0.00232832553, -0.00729839224, 0.0009988039, -1.66176462 , -0.05846857 , 1.32160544  , 20.99       , 3
-0.531494439, 9.748886    , 0.84674716  , -0.0008416837, -0.006148426, 0.000220209229, -1.66168642 , -0.0582961366, 1.32270074  , 21          , 3
-0.5257153  , 9.74070549  , 0.848686457 , -0.000431904278, -0.00482830033, -0.0013797282, -1.66169369 , -0.05830548 , 1.32275033  , 21.01       , 3
-0.4970551  , 9.756228    , 0.8512015   , -0.00149475329, -0.005902416, -0.00284914346, -1.66171217 , -0.0583285  , 1.32281184  , 21.02       , 3
-0.5154294  , 9.743406    , 0.86411196  , -0.00175889733, -0.00603985041, -0.00351663656, -1.66173351 , -0.05835802 , 1.32287526  , 21.03       , 3
-0.526266932, 9.74669     , 0.864844    , 0.000374425523, -0.00563572766, -0.00270837685, -1.66173315 , -0.0583799034, 1.32293391  , 21.04       , 3
-0.525504053, 9.74268     , 0.8747902   , 0.002103624 , -0.00602647 , -0.001367425, -1.66171563 , -0.0583880842, 1.32299542  , 21.05       , 3
-0.504287243, 9.75084     , 0.8443918   , 0.0029001208, -0.0053533  , -0.0001651926, -1.66168976 , -0.05838495 , 1.32304883  , 21.06       , 3
-0.5148175  , 9.746026    , 0.8510425   , 0.002233173 , -0.005754171, -0.000434052723, -1.6616708  , -0.0583840534, 1.32310653  , 21.07       , 3
-0.5098438  , 9.757805    , 0.864077866 , 0.00129712839, -0.006285426, -0.0003039075, -1.66166151 , -0.0583813079, 1.32316947  , 21.08       , 3
-0.5027003  , 9.74005     , 0.8553005   , 0.001703637 , -0.00509397173, -0.00123709685, -1.66164744 , -0.05838913 , 1.32322145  , 21.09       , 3
-0.5289881  , 9.745357    , 0.863917351 , -0.00268018246, -0.004616174, -0.0032379285, -1.6615839  , -0.058241982, 1.32430768  , 21.1        , 3
-0.5122214  , 9.71316     , 0.873387039 , -0.006685078, -0.004750269, -0.0035211402, -1.66165376 , -0.05827267 , 1.32435822  , 21.11       , 3
-0.5035442  , 9.744113    , 0.8534577   , -0.006413227, -0.00582375238, -0.00485165138, -1.66172159 , -0.05831566 , 1.32442021  , 21.12       , 3
-0.5285665  , 9.781474    , 0.8600495   , -0.005622292, -0.006075956, -0.00271492638, -1.66178143 , -0.0583372749, 1.32448363  , 21.13       , 3
-0.5304476  , 9.795643    , 0.8819815   , 0.0005097751, -0.009262147, -0.00135160261, -1.66178179 , -0.05834229 , 1.32457709  , 21.14       , 3
-0.5093577  , 9.766876    , 0.87032     , -0.000301341119, -0.007381286, 0.00130867539, -1.66178918 , -0.0583224669, 1.32464957  , 21.15       , 3
